Number,areaaName,attaackNature,MartyrsNumber,Date
1,Quetta,Attack On FC Troop,4,"June 1, 2021"
2,Karachi,Attack On Rangers,9,"January 25, 2021"
3,Lahore,Attack On Army Troop,10,"December 14, 2020"
4,Lahore,Attack On FC Troop,5,"December 10, 2020"
5,Peshawar,Attack On Army Troop,1,"October 22, 2020"
6,Quetta,Attack On Army Troop,10,"May 12, 2020"
7,Waziristan,Attack On FC Troop,10,"July 28, 2019"
8,Arandu,Attack On FC Troop,6,"July 27, 2019"
9,Waziristan,Attack On FC Troop,4,"July 27, 2019"
10,Quetta,Attack On FC Troop,7,"July 14, 2018"
11,Bannu,Terrorist Attack,66,"April 30, 2018"
12,Mastung,Terrorist Attack,108,"October 8, 2017"
13,Quetta,Attack On Police,62,"October 26, 2016"
14,Islamabad,Terrorist Attack,64,"August 21, 2008"
15,Islamabad,Terrorist Attack,60,"September 20, 2008"
16,Peshawar,Terrorist Attack,125,"October 28, 2009"
17,Bannu,Terrorist Attack,101,"January 1, 2010"
18,Lahore,Terrorist Attack,57,"March 12, 2010"
19,Lahore,Terrorist Attack,82,"May 28, 2010"
20,Waziristan,Terrorist Attack,101,"July 9, 2010"
21,Quetta,Terrorist Attack,59,"September 3, 2010"
22,Dara Adam Khel,Terrorist Attack,68,"November 25, 2010"
23,Dera Ghazi Khan,Terrorist Attack,50,"April 3 ,2011"
24,Charsadda,Terrorist Attack,98,"May 13, 2011"
25,Peshawar,Terrorist Attack,43,"August  , 2011"
26,Mansehra,Terrorist Attack,20,"August 16, 2012"
27,Waziristan,Terrorist Attack,35,"January 1, 2012"
28,Quetta,Terrorist Attack,92,"January 10, 2013"
29,Quetta,Terrorist Attack,89,"February 16, 2013"
30,Karachi,Terrorist Attack,45,"March 3, 2013"
31,Quetta,Terrorist Attack,38,"August 9, 2013"
32,Peshawar,Terrorist Attack,82,"September 22, 2013"
33,Bannu,Attack On FC Troop,20,"January 19, 2014"
34,Quetta,Terrorist Attack,24,"January 21, 2014"
35,Karachi,Terrorist Attack,27,"June 10, 2014"
36,Peshawar,Terrorist Attack,154,"December 16, 2014"
37,Peshawar,Terrorist Attack,22,"February 13, 2015"
38,Karachi,Terrorist Attack,43,"May 30, 2015"
39,Jacobabad,Terrorist Attack,24,"October 23, 2015"
40,Waziristan,Terrorist Attack,23,"December 13, 2015"
41,Mardan ,Terrorist Attack,26,"December 29, 2015"
42,Shikarpur,Terrorist Attack,62,"January 30, 2015"
43,Peshawar,Terrorist Attack,44,"September 29, 2013"
44,Waziristan,Terrorist Attack,41,"July 27, 2013"
45,Charsadda,Terrorist Attack,21,"January 20, 2016"
46,Karachi,Terrorist Attack,139,"February 28, 2016"
47,Islamabad,Terrorist Attack,12,"December 20, 2015"
48,Peshawar,Terrorist Attack,80,"March 16, 2018"
49,Lahore,Terrorist Attack,15,"March 15, 2015"
50,Peshawar,Terrorist Attack,12,"March 1, 2014"
51,Panjgur,Terrorist Attack,4,"February 3, 2022"
52,Bannu,Terrorist Attack,4,"February 3, 2022"
