,Unnamed: 0,mainInfo,location,point,latitude,longitude,altitude
0,0,Sehwan,"سیہون شریف, سندھ, پاکستان","(26.4255959, 67.8625638, 0.0)",26.4255959,67.8625638,0
1,1,Latifabad,"لطِيف آباد, حیدرآباد, سندھ, 91000, پاکستان","(25.3677817, 68.3565734, 0.0)",25.3677817,68.3565734,0
2,2,Jamshoro,"جامشورو, سندھ, پاکستان","(25.4007232, 68.266172, 0.0)",25.4007232,68.266172,0
3,3,Jacobabad,"جیکب آباد, سندھ, 79000, پاکستان","(28.2813094, 68.4364361, 0.0)",28.2813094,68.4364361,0
4,4,Hyderabad,"Hyderabad, Telangana, India","(25.396, 68.3578, 0.0)",25.396,68.3578,0
5,5,Karachi,"کراچی, سندھ, کراچی, 74400, پاکستان","(24.8546842, 67.0207055, 0.0)",24.8546842,67.0207055,0
6,6,Dadu,"Dadu, Cârlibaba, Suceava, 727116, România","(26.7341, 67.7795, 0.0)",26.7341,67.7795,0
7,7,Larkana,"لاڑکانہ, ضلع لاڑکانہ, سندھ, 77150, پاکستان","(27.5564798, 68.2101509, 0.0)",27.5564798,68.2101509,0
8,8,Ghotki,"گھوٹکی, Ghotki Khanpur Road, عادل پور, سندھ, پاکستان","(27.9939917, 69.3134549, 0.0)",27.9939917,69.3134549,0
9,9,Khairpur,"Khairpur, Siana, Bulandshahr, Uttar Pradesh, 203402, India","(27.5256, 68.7551, 0.0)",27.5256,68.7551,0
10,10,Shikarpur,"Shikarpur, Bulandshahr, Uttar Pradesh, India","(27.9570, 68.6380, 0.0)",27.957,68.638,0
11,11,Kashmore,"کشمور, سندھ, پاکستان","(28.4322915, 69.5814755, 0.0)",28.4322915,69.5814755,0
12,12,Sukkur,"سکھر, سندھ, پاکستان","(27.6961883, 68.8588754, 0.0)",27.6961883,68.8588754,0
13,13,Nawabshah,"نوابشاہ, سندھ, پاکستان","(26.2452915, 68.4040229, 0.0)",26.2452915,68.4040229,0
14,14,Umarkot,"Umarkot, Rojhan Tehsil, پنجاب, پاکستان","(28.8212149, 70.1450046, 0.0)",28.8212149,70.1450046,0
15,15,Mansehra,"مانسہرہ, خیبر پختونخوا, پاکستان","(34.3286855, 73.1993125, 0.0)",34.3286855,73.1993125,0
16,16,Kotri,"Kotri, Kotri Tehsil, Bhilwara District, Rajasthan, India","(25.3494, 68.2743, 0.0)",25.3494,68.2743,0
17,17,Thatta,"Thatta, Ajnala Tahsil, Amritsar, Punjab, 143109, India","(24.7475, 67.9106, 0.0)",24.7475,67.9106,0
18,18,Badin,"بدين, سندھ, 72200, پاکستان","(24.7566588, 68.84961066168489, 0.0)",24.7566588,68.84961066,0
19,19,Sehwan,"سیہون شریف, سندھ, پاکستان","(26.4255959, 67.8625638, 0.0)",26.4255959,67.8625638,0
20,20,Pano Akil,"پنو عاقل, Pano Akil Cantonment, سندھ, پاکستان","(27.855824, 69.1127479, 0.0)",27.855824,69.1127479,0
21,21,Kot Diji,"کوٹ ڈیجی, سندھ, پاکستان","(27.3430938, 68.7093634, 0.0)",27.3430938,68.7093634,0
22,22,Latifabad,"لطِيف آباد, حیدرآباد, سندھ, 91000, پاکستان","(25.3677817, 68.3565734, 0.0)",25.3677817,68.3565734,0
23,23,Padidan,"پڈعیدن, سندھ, پاکستان","(26.7819818, 68.2796342, 0.0)",26.7819818,68.2796342,0
24,24,Tando Jam,"ٹنڈو جام, سندھ, پاکستان","(25.4245266, 68.5296162, 0.0)",25.4245266,68.5296162,0
25,25,Jacobabad,"جیکب آباد, سندھ, 79000, پاکستان","(28.2813094, 68.4364361, 0.0)",28.2813094,68.4364361,0
26,26,Hyderabad,"Hyderabad, Telangana, India","(25.396, 68.3578, 0.0)",25.396,68.3578,0
27,27,Karachi,"کراچی, سندھ, کراچی, 74400, پاکستان","(24.8546842, 67.0207055, 0.0)",24.8546842,67.0207055,0
28,28,Dadu,"Dadu, Cârlibaba, Suceava, 727116, România","(26.7341, 67.7795, 0.0)",26.7341,67.7795,0
29,29,Larkana,"لاڑکانہ, ضلع لاڑکانہ, سندھ, 77150, پاکستان","(27.5564798, 68.2101509, 0.0)",27.5564798,68.2101509,0
30,30,Ghotki,"گھوٹکی, Ghotki Khanpur Road, عادل پور, سندھ, پاکستان","(27.9939917, 69.3134549, 0.0)",27.9939917,69.3134549,0
31,31,Qambar,"Qambar, ناحية عقيربات, منطقة سلمية, محافظة حماة, سوريا","(27.5859, 68.0060, 0.0)",27.5859,68.006,0
32,32,Kot Diji,"کوٹ ڈیجی, سندھ, پاکستان","(27.3430938, 68.7093634, 0.0)",27.3430938,68.7093634,0
33,33,Sehwan,"سیہون شریف, سندھ, پاکستان","(26.4255959, 67.8625638, 0.0)",26.4255959,67.8625638,0
34,34,Latifabad,"لطِيف آباد, حیدرآباد, سندھ, 91000, پاکستان","(25.3677817, 68.3565734, 0.0)",25.3677817,68.3565734,0
35,35,Padidan,"پڈعیدن, سندھ, پاکستان","(26.7819818, 68.2796342, 0.0)",26.7819818,68.2796342,0
36,36,Nawabshah,"نوابشاہ, سندھ, پاکستان","(26.2452915, 68.4040229, 0.0)",26.2452915,68.4040229,0
37,37,Thatta,"Thatta, Ajnala Tahsil, Amritsar, Punjab, 143109, India","(24.7475, 67.9106, 0.0)",24.7475,67.9106,0
38,38,Kotri,"Kotri, Kotri Tehsil, Bhilwara District, Rajasthan, India","(25.3494, 68.2743, 0.0)",25.3494,68.2743,0
39,39,Sukkur,"سکھر, سندھ, پاکستان","(27.6961883, 68.8588754, 0.0)",27.6961883,68.8588754,0
40,40,Sakrand,"سکرنڈ, سندھ, پاکستان","(26.1359715, 68.2734653, 0.0)",26.1359715,68.2734653,0
41,41,Daharki,"ڈھرکی‎, سندھ, پاکستان","(28.052158, 69.7030649, 0.0)",28.052158,69.7030649,0
42,42,Sehwan,"سیہون شریف, سندھ, پاکستان","(26.4255959, 67.8625638, 0.0)",26.4255959,67.8625638,0
43,43,Latifabad,"لطِيف آباد, حیدرآباد, سندھ, 91000, پاکستان","(25.3677817, 68.3565734, 0.0)",25.3677817,68.3565734,0
44,44,Jamshoro,"جامشورو, سندھ, پاکستان","(25.4007232, 68.266172, 0.0)",25.4007232,68.266172,0
45,45,Jacobabad,"جیکب آباد, سندھ, 79000, پاکستان","(28.2813094, 68.4364361, 0.0)",28.2813094,68.4364361,0
46,46,Hyderabad,"Hyderabad, Telangana, India","(25.396, 68.3578, 0.0)",25.396,68.3578,0
47,47,Karachi,"کراچی, سندھ, کراچی, 74400, پاکستان","(24.8546842, 67.0207055, 0.0)",24.8546842,67.0207055,0
48,48,Dadu,"Dadu, Cârlibaba, Suceava, 727116, România","(26.7341, 67.7795, 0.0)",26.7341,67.7795,0
49,49,Larkana,"لاڑکانہ, ضلع لاڑکانہ, سندھ, 77150, پاکستان","(27.5564798, 68.2101509, 0.0)",27.5564798,68.2101509,0
50,50,Ghotki,"گھوٹکی, Ghotki Khanpur Road, عادل پور, سندھ, پاکستان","(27.9939917, 69.3134549, 0.0)",27.9939917,69.3134549,0
